School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
138TH STREET,CALIFORNIA,0601428,060142807146,1,26,255,35,71,3,444,53,Elementary
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,0604290,060429013779,–,14,128,19,110,–,293,22,Other
A PLACE TO GROW,California,0628270,062827013394,†,†,†,†,†,†,†,†,Not Reported
A. E. ARNOLD ELEMENTARY,California,0610440,061044001166,2,211,188,29,132,2,586,22,Elementary
A. G. COOK ELEMENTARY,California,0614880,061488001834,–,265,80,–,14,2,371,10,Elementary
A. J. DORSA ELEMENTARY,California,0602310,060231000103,–,20,330,2,2,4,365,7,Elementary
A. L. CONNER ELEMENTARY,California,0619700,061970010780,–,–,322,1,3,–,326,–,Elementary
A. M. THOMAS MIDDLE,California,0622950,062295007772,–,–,112,–,1,–,113,–,Middle
A. M. WINN WALDORF-INSPIRED,California,0633840,063384005217,8,19,136,38,141,2,380,36,Elementary
ABBOTT MIDDLE,California,0634920,063492005896,1,86,429,12,172,21,764,43,Middle
ABBY REINKE ELEMENTARY,California,0600028,060002808271,1,46,210,23,340,–,698,78,Elementary
ABC SECONDARY (ALTERNATIVE),California,0601620,060162010232,0,6,38,4,3,0,52,1,High
ABRAHAM LINCOLN,California,0629850,062985004650,1,5,583,23,2,3,625,8,Elementary
ABRAHAM LINCOLN ALTERNATIVE,California,0637620,063762002045,1,1,24,7,27,0,66,6,Other
ABRAHAM LINCOLN CONTINUATION,California,0633150,063315005148,1,1,148,10,13,0,179,6,High
ABRAHAM LINCOLN ELEMENTARY,California,0633840,063384005218,5,49,191,75,107,31,502,44,Elementary
ABRAHAM LINCOLN ELEMENTARY,California,0609390,060939000951,–,4,618,19,12,–,654,1,Elementary
ABRAHAM LINCOLN ELEMENTARY,California,0627240,062724000755,1,44,43,5,174,1,302,34,Elementary
ABRAHAM LINCOLN ELEMENTARY,California,0635310,063531005993,2,12,626,–,5,1,646,–,Elementary
ABRAHAM LINCOLN ELEMENTARY,California,0615240,061524001937,2,105,88,5,273,1,502,28,Elementary
ABRAHAM LINCOLN ELEMENTARY,California,0610290,061029001139,4,426,23,–,42,1,548,52,Elementary
ABRAHAM LINCOLN ELEMENTARY,California,0635810,063581006125,1,5,249,2,9,1,270,3,Elementary
ABRAHAM LINCOLN ELEMENTARY,California,0611110,061111001230,1,19,506,9,70,–,620,15,Elementary
ABRAHAM LINCOLN HIGH,California,0634590,063459005696,6,102,1260,44,224,5,1703,62,High
ABRAHAM LINCOLN MIDDLE,California,0636270,063627001989,2,30,886,–,40,1,960,1,Middle
