,District Name,nces_id,Dissimilarity,State,Size
29,Hesperia Unified,600014,0.2013107948189008,California,7268
30,Pleasanton Unified,600020,0.041410731323560226,California,5003
31,Lake Elsinore Unified,600027,0.20228567900948763,California,7090
32,Temecula Valley Unified,600028,0.14018502821890494,California,9520
33,Murrieta Valley Unified,600029,0.16407681447713518,California,8251
34,Natomas Unified,600036,0.3637869191727608,California,5028
35,Tracy Joint Unified,600047,0.2062860589746326,California,5817
36,Porterville Unified,600064,0.25735887629091514,California,6585
37,Alhambra Unified,600153,0.25551460142357235,California,6376
38,Twin Rivers Unified,601332,0.09897708132001626,California,5934
39,Santa Barbara Unified,601414,0.3155955730632152,California,6437
40,ABC Unified,601620,0.49241731839954056,California,6740
41,Acalanes Union High,601650,0.18394233159333834,California,5429
42,Alvord Unified,602430,0.30982814071210657,California,5703
43,Anaheim Union High,602630,0.5751412102400983,California,20179
44,Antelope Valley Union High,602820,0.3938207128009013,California,22270
45,Burbank Unified,606450,0.19232530292407823,California,5139
46,Campbell Union High,607230,0.25634468679488553,California,8320
47,Capistrano Unified,607440,0.3671854716587726,California,15463
48,Centinela Valley Union High,607920,0.21900469982722998,California,5884
49,Chaffey Joint Union High,608160,0.44274765619972,California,23468
50,Chino Valley Unified,608460,0.5101192158868089,California,9116
51,Clovis Unified,609030,0.2347030000380056,California,13097
52,Colton Joint Unified,609390,0.3592526690391459,California,6366
53,Conejo Valley Unified,609640,0.17812860540133268,California,6337
54,Corona-Norco Unified,609850,0.315751971886384,California,17610
55,Desert Sands Unified,611110,0.44592788080146406,California,9086
56,Downey Unified,611460,0.08588051341959954,California,8109
57,East Side Union High,611820,0.41532524865417086,California,21615
58,El Dorado Union High,612070,0.49136345617717586,California,6869
59,El Monte Union High,612120,0.43816868591988156,California,8090
60,Elk Grove Unified,612330,0.22064836866352155,California,20370
61,Escondido Union High,612910,0.14585115359131548,California,7158
62,Fairfield-Suisun Unified,613360,0.29235172453973435,California,6863
63,Folsom-Cordova Unified,613890,0.4562487033647813,California,6586
64,Fontana Unified,613920,0.3672460465057168,California,12064
65,Fremont Unified,614400,0.4200566702023296,California,10398
66,Fremont Union High,614430,0.5119469742967011,California,10250
67,Fresno Unified,614550,0.19011233836147823,California,18263
68,Fullerton Joint Union High,614760,0.6296460237962742,California,13413
69,Garden Grove Unified,614880,0.41119843770591963,California,13431
70,Glendale Unified,615240,0.4091833543221869,California,7177
71,Grossmont Union High,616230,0.12774691237476782,California,16880
72,Hacienda la Puente Unified,616325,0.5577680606878557,California,5167
73,Hayward Unified,616740,0.22881414342694179,California,5212
74,Hemet Unified,616920,0.33809454658108484,California,7978
75,Huntington Beach Union High,618060,0.31208118243819005,California,15082
76,Jurupa Unified,619260,0.21437505265409018,California,5993
77,Kern High,619540,0.552005734263211,California,42521
78,Liberty Union High,621600,0.2744330655538356,California,8275
79,Lodi Unified,622230,0.4366916681817258,California,8673
80,Long Beach Unified,622500,0.26335792919477186,California,21819
81,Los Angeles Unified,622710,0.5242594487000877,California,117394
82,Madera Unified,623340,0.19448322459974401,California,5832
83,Manteca Unified,623610,0.2496177873935402,California,8094
84,Merced Union High,624660,0.18143025663248108,California,11177
85,Modesto City High,625150,0.2421777266632394,California,15311
86,Montebello Unified,625470,0.5067463183660367,California,7697
87,Moreno Valley Unified,625800,0.17545865456259596,California,9749
88,Mt. Diablo Unified,626370,0.39515854657141836,California,7780
89,Napa Valley Unified,626640,0.6845282656125745,California,5902
90,Newport-Mesa Unified,627240,0.40038567200415714,California,7615
91,Norwalk-La Mirada Unified,627690,0.28774928774928776,California,5192
92,Oakland Unified,628050,0.5338497187363686,California,10226
93,Oceanside Unified,628250,0.26047418288351504,California,5056
94,Orange Unified,628650,0.4310317133846545,California,8273
95,Oxnard Union High,629270,0.3085998010983681,California,17361
96,Pajaro Valley Unified,629490,0.4084473242140629,California,5574
97,Palm Springs Unified,629550,0.2949929145016533,California,6769
98,Pasadena Unified,629940,0.15510781045613736,California,5829
99,Perris Union High,630210,0.4219489999672657,California,10381
100,Placentia-Yorba Linda Unified,630660,0.18490755901865935,California,7797
101,Pomona Unified,631320,0.42874106852874316,California,6973
102,Poway Unified,631530,0.374156522310677,California,11616
103,Redlands Unified,632070,0.30383073789342274,California,6563
104,Rialto Unified,632370,0.1716246569541263,California,7812
105,West Contra Costa Unified,632550,0.414301129930024,California,7775
106,Riverside Unified,633150,0.4573176406768123,California,12599
107,Roseville Joint Union High,633630,0.236417422269547,California,10571
108,Sacramento City Unified,633840,0.2007019023902375,California,12403
109,Saddleback Valley Unified,633860,0.16965619285584668,California,8407
110,Salinas Union High,633980,0.21637167840418198,California,12095
111,San Bernardino City Unified,634170,0.16832308878721672,California,13283
112,San Diego Unified,634320,0.43532735566905156,California,28554
113,San Dieguito Union High,634380,0.4653262142122254,California,8888
114,San Francisco Unified,634410,0.3986854767355379,California,15697
115,San Jose Unified,634590,0.5454691419208674,California,8620
116,San Juan Unified,634620,0.36736156013113735,California,12554
117,San Marcos Unified,634880,0.06470292943889569,California,6785
118,San Mateo Union High,634980,0.26932577399637914,California,9056
119,San Ramon Valley Unified,635130,0.39819608671377626,California,10514
120,Santa Ana Unified,635310,0.3301360977309037,California,14606
121,Santa Maria Joint Union High,635670,0.23200879120879125,California,9242
122,Santa Rosa High,635830,0.24856834219361992,California,7709
123,Sequoia Union High,636390,0.549806776117121,California,8633
124,Simi Valley Unified,636840,0.24484228532801752,California,5249
125,Victor Valley Union High,636972,0.3541728488791087,California,10109
126,Stockton Unified,638010,0.34445544078888946,California,11083
127,Sweetwater Union High,638640,0.4105694046331493,California,26586
128,Tamalpais Union High,638790,0.12980487347264238,California,5038
129,Torrance Unified,639420,0.23200908723150862,California,7647
131,Tustin Unified,640150,0.5829238657132616,California,8164
132,Ventura Unified,640980,0.25255940781082264,California,5176
134,Vista Unified,641190,0.4160778609032973,California,6343
135,Whittier Union High,642480,0.23825796239589342,California,10767
136,William S. Hart Union High,642510,0.4188986442714425,California,15372
137,Irvine Unified,684500,0.1804370844298739,California,10628
138,Val Verde Unified,691135,0.2636562302230178,California,6591
