,District Name,nces_id,Dissimilarity,State,Size
68,Rocklin Unified,600013,0.06862778927996319,California,4332
69,Hesperia Unified,600014,0.19316818774445896,California,7268
70,Upland Unified,600016,0.023664803683785,California,3386
71,Apple Valley Unified,600017,0.08799411656554512,California,3983
72,Dublin Unified,600019,0.03639563965503955,California,3441
73,Pleasanton Unified,600020,0.023639801615686754,California,5003
74,Lake Elsinore Unified,600027,0.1706975005478428,California,7090
75,Temecula Valley Unified,600028,0.14712557256901299,California,9520
76,Murrieta Valley Unified,600029,0.17286103742138964,California,8251
77,Redondo Beach Unified,600032,0.018014835747085838,California,3160
78,Natomas Unified,600036,0.2551192578903635,California,5028
79,Tracy Joint Unified,600047,0.1637689524047879,California,5817
80,Paso Robles Joint Unified,600048,0.07186411149825786,California,2319
81,Porterville Unified,600064,0.24232223598123082,California,6585
82,Dinuba Unified,600065,0.018885306310456026,California,2212
83,Alhambra Unified,600153,0.23663842993602216,California,6376
84,Turlock Unified,600158,0.31814925044091713,California,4792
85,Twin Rivers Unified,601332,0.13828799836361944,California,5934
86,Santa Barbara Unified,601414,0.2689225155612792,California,6437
87,ABC Unified,601620,0.4489753515015881,California,6740
88,Acalanes Union High,601650,0.10758505188331371,California,5429
89,Alameda Unified,601770,0.09164304882809426,California,3172
90,Alvord Unified,602430,0.2643597366488933,California,5703
91,Anaheim Union High,602630,0.5065870811412057,California,20179
92,Antelope Valley Union High,602820,0.3410142225904446,California,22270
93,Antioch Unified,602850,0.2882508166349763,California,4605
94,Azusa Unified,603600,0.13369425109564317,California,2200
95,Baldwin Park Unified,603690,0.1403309545887168,California,3584
96,Beaumont Unified,604290,0.033333333333333326,California,3285
97,Bellflower Unified,604440,0.20489605667940713,California,4842
98,Berkeley Unified,604740,0.008645672649817594,California,3274
99,Bonita Unified,605610,0.03578597540711197,California,3205
100,Brawley Union High,605820,0.0998524348253812,California,2048
101,Burbank Unified,606450,0.033495305984689985,California,5139
102,Calexico Unified,606900,0.0,California,2903
103,Campbell Union High,607230,0.1365550714978515,California,8320
104,Capistrano Unified,607440,0.30725971611302605,California,15463
105,Carlsbad Unified,607500,0.3564524704720672,California,3805
106,Castro Valley Unified,607800,0.05597351875155331,California,2825
107,Centinela Valley Union High,607920,0.21918307147294686,California,5884
108,Central Unified,607970,0.021944205851216092,California,4441
109,Central Union High,608010,0.19237226757966816,California,3829
110,Ceres Unified,608130,0.05995536057877321,California,4361
111,Chaffey Joint Union High,608160,0.34532399999464697,California,23468
112,Chico Unified,608370,0.13057593418700422,California,3887
113,Chino Valley Unified,608460,0.4215739445417025,California,9116
114,Clovis Unified,609030,0.2342683504809928,California,13097
115,Coachella Valley Unified,609070,0.11601836844948678,California,4942
116,Colton Joint Unified,609390,0.3186700767263427,California,6366
117,Conejo Valley Unified,609640,0.12448170646928412,California,6337
118,Corona-Norco Unified,609850,0.2742121627512812,California,17610
119,Cotati-Rohnert Park Unified,609940,0.21820502678796158,California,2005
120,Covina-Valley Unified,610050,0.15024163033012589,California,4187
121,Culver City Unified,610260,0.0,California,2228
122,Davis Joint Unified,610620,0.15393504424419552,California,2437
123,Delano Joint Union High,610860,0.09317320919801014,California,4110
124,Desert Sands Unified,611110,0.3755321707683649,California,9086
125,Downey Unified,611460,0.08830355070782084,California,8109
126,East Side Union High,611820,0.3961344998148683,California,21615
127,El Dorado Union High,612070,0.4090662856235612,California,6869
128,El Monte Union High,612120,0.43090400948350155,California,8090
129,El Rancho Unified,612180,0.08012759170653908,California,2533
130,Elk Grove Unified,612330,0.16795549585459554,California,20370
131,Escondido Union High,612910,0.10949511444516735,California,7158
132,Fairfield-Suisun Unified,613360,0.19534448769931095,California,6863
133,Fallbrook Union High,613530,0.049333991119881584,California,2059
134,Folsom-Cordova Unified,613890,0.22808640062082816,California,6586
135,Fontana Unified,613920,0.3434700077362869,California,12064
136,Fremont Unified,614400,0.36043266986736333,California,10398
137,Fremont Union High,614430,0.39037922180525386,California,10250
138,Fresno Unified,614550,0.21214750870816296,California,18263
139,Fullerton Joint Union High,614760,0.5796930059730317,California,13413
140,Galt Joint Union High,614820,0.2487279511533243,California,2199
141,Garden Grove Unified,614880,0.3927030043443881,California,13431
142,Gilroy Unified,615180,0.213574373673942,California,3927
143,Glendale Unified,615240,0.28576826625305574,California,7177
144,Glendora Unified,615270,0.023429124736314293,California,2385
145,Grossmont Union High,616230,0.11143821074877289,California,16880
146,Hacienda la Puente Unified,616325,0.5459190503937854,California,5167
147,Hanford Joint Union High,616500,0.24594479225953325,California,4128
148,Hayward Unified,616740,0.22075444572081276,California,5212
149,Hemet Unified,616920,0.3131940442509839,California,7978
150,Huntington Beach Union High,618060,0.4126511408946707,California,15082
151,Jefferson Union High,618930,0.2778013323004764,California,3920
152,Jurupa Unified,619260,0.19942314653712767,California,5993
153,Kern High,619540,0.4726282185677289,California,42521
154,South Monterey County Joint Union High,619650,0.3606304985337243,California,2748
155,Kings Canyon Joint Unified,619700,0.26874692129892763,California,2816
156,Las Virgenes Unified,621000,0.006039743844947543,California,3727
157,Liberty Union High,621600,0.2134318086103757,California,8275
158,Lincoln Unified,621690,0.03301132001333895,California,3200
159,Livermore Valley Joint Unified,622110,0.02232987285013998,California,4214
160,Lodi Unified,622230,0.42393209032079565,California,8673
161,Lompoc Unified,622410,0.1070989297450113,California,2962
162,Long Beach Unified,622500,0.25890184275115147,California,21819
163,Los Angeles Unified,622710,0.4797906438884471,California,117394
164,Los Banos Unified,622740,0.057348434269902465,California,3479
165,Los Gatos-Saratoga Union High,622800,0.4675087108013938,California,3375
166,Lucia Mar Unified,623080,0.10528920507268791,California,3338
167,Lynwood Unified,623160,0.21415754202219212,California,3908
168,Madera Unified,623340,0.18205089969181829,California,5832
169,Manteca Unified,623610,0.2471231358106906,California,8094
170,Marysville Joint Unified,624090,0.28640495963357926,California,2766
171,Milpitas Unified,624500,0.07811038353601497,California,3207
172,Merced Union High,624660,0.17407717857147925,California,11177
173,Modesto City High,625150,0.2151509716980125,California,15311
174,Montebello Unified,625470,0.4989193694544996,California,7697
175,Monterey Peninsula Unified,625530,0.15217360730208293,California,3223
176,Moreno Valley Unified,625800,0.17197280649214908,California,9749
177,Morgan Hill Unified,625830,0.3385280775533839,California,2839
178,Morongo Unified,625860,0.1527117031398668,California,2192
179,Mountain View-Los Altos Union High,626310,0.0418309640669889,California,4514
180,Mt. Diablo Unified,626370,0.1824454001490685,California,7780
181,Napa Valley Unified,626640,0.6613609604239767,California,5902
182,Nevada Joint Union High,626880,0.09606518464417765,California,2344
183,New Haven Unified,626910,0.05292464647208358,California,3580
184,Newport-Mesa Unified,627240,0.24347546098362688,California,7615
185,Norwalk-La Mirada Unified,627690,0.24775142994519156,California,5192
186,Novato Unified,627720,0.06010452961672475,California,2635
187,Oakland Unified,628050,0.3951977034919246,California,10226
188,Oceanside Unified,628250,0.24600687465343563,California,5056
189,Orange Unified,628650,0.2972651130278482,California,8273
190,Oroville Union High,629130,0.3189033189033189,California,2427
191,Oxnard Union High,629270,0.25743767467228906,California,17361
192,Pajaro Valley Unified,629490,0.29914903963044004,California,5574
193,Palm Springs Unified,629550,0.2725922827564572,California,6769
194,Palo Alto Unified,629610,0.10676202012878352,California,3878
195,Palos Verdes Peninsula Unified,629700,0.2556521739130435,California,3795
197,Pasadena Unified,629940,0.1366810152057245,California,5829
198,Perris Union High,630210,0.33189421690733345,California,10381
199,Petaluma Joint Union High,630250,0.22337307015829588,California,3215
200,Pittsburg Unified,630600,0.04226143718120034,California,3824
201,Placentia-Yorba Linda Unified,630660,0.16155371892726517,California,7797
202,Placer Union High,630750,0.04850930653928514,California,3814
203,Pomona Unified,631320,0.4127197083021691,California,6973
204,Poway Unified,631530,0.28048488358875784,California,11616
205,Redlands Unified,632070,0.275108431364647,California,6563
206,Rialto Unified,632370,0.1729827093706599,California,7812
207,West Contra Costa Unified,632550,0.29614377293116423,California,7775
208,Riverside Unified,633150,0.38067581110734583,California,12599
209,Roseville Joint Union High,633630,0.14258577653912197,California,10571
210,Rowland Unified,633750,0.4828451300002138,California,3827
211,Sacramento City Unified,633840,0.24200675379653627,California,12403
212,Saddleback Valley Unified,633860,0.1198178277095757,California,8407
213,Salinas Union High,633980,0.18882272081119839,California,12095
214,San Benito High,634140,0.02003535651149089,California,3491
215,San Bernardino City Unified,634170,0.1391803602611823,California,13283
216,San Diego Unified,634320,0.3825997224016731,California,28554
217,San Dieguito Union High,634380,0.4190479969635278,California,8888
218,San Francisco Unified,634410,0.31530716337585557,California,15697
219,San Jacinto Unified,634440,0.06604450825556352,California,2831
220,San Jose Unified,634590,0.4379697263671755,California,8620
