,District Name,nces_id,Dissimilarity,State,Size
14,Anaheim Union High,602630,0.5108235941463289,California,20179
32,Los Angeles Unified,622710,0.487905353279702,California,125958
36,Oxnard Union High,629270,0.435866107068972,California,17361
26,Fullerton Joint Union High,614760,0.43448905398201176,California,13413
30,Kern High,619540,0.42093199133951176,California,42521
24,Fremont Union High,614430,0.42032244681916375,California,10250
35,Oakland Unified,628050,0.4167407705928066,California,10226
17,Chaffey Joint Union High,608160,0.40964100274363024,California,23468
27,Garden Grove Unified,614880,0.4039338900403753,California,13431
20,East Side Union High,611820,0.3799869761409741,California,21615
23,Fremont Unified,614400,0.35896148004640094,California,10398
42,Salinas Union High,633980,0.3513608542176534,California,12095
29,Huntington Beach Union High,618060,0.34114580653975757,California,15082
37,Perris Union High,630210,0.3369601456720242,California,10381
51,Sweetwater Union High,638640,0.3338962010109613,California,26586
45,San Francisco Unified,634410,0.3325768939434801,California,15697
53,William S. Hart Union High,642510,0.3087519811564501,California,15372
44,San Diego Unified,634320,0.3078300242690513,California,28554
48,Santa Ana Unified,635310,0.27487471728684254,California,14606
39,Riverside Unified,633150,0.2745891286180671,California,12599
28,Grossmont Union High,616230,0.252080308430763,California,17044
22,Fontana Unified,613920,0.2490861422711571,California,12064
50,Stockton Unified,638010,0.23787897896014426,California,11083
15,Antelope Valley Union High,602820,0.22635293341497292,California,22303
38,Poway Unified,631530,0.21063331964039914,California,11616
34,Modesto City High,625150,0.20701025471267337,California,15311
19,Corona-Norco Unified,609850,0.2052237659973301,California,17610
52,Whittier Union High,642480,0.2041213627420524,California,10767
43,San Bernardino City Unified,634170,0.1946359499510295,California,13283
47,San Ramon Valley Unified,635130,0.17296489268491705,California,10514
40,Roseville Joint Union High,633630,0.1667997404768446,California,10571
31,Long Beach Unified,622500,0.16618298674804777,California,21819
21,Elk Grove Unified,612330,0.16601354535907023,California,20370
25,Fresno Unified,614550,0.15017090458357452,California,18263
46,San Juan Unified,634620,0.14886991726323967,California,12644
18,Clovis Unified,609030,0.1476934402284744,California,13138
33,Merced Union High,624660,0.1438284374675798,California,11177
16,Capistrano Unified,607440,0.14378242131516608,California,15463
54,Irvine Unified,684500,0.13242224910529765,California,10628
41,Sacramento City Unified,633840,0.12043711204512719,California,12403
49,Victor Valley Union High,636972,0.05568231210408406,California,10226
