,District Name,nces_id,Dissimilarity,State,Size
97,Pajaro Valley Unified,629490,0.6831258923014973,California,5574
43,Anaheim Union High,602630,0.5108235941463289,California,20179
82,Los Angeles Unified,622710,0.487905353279702,California,125958
73,Hacienda la Puente Unified,616325,0.4735999960685028,California,5167
91,Newport-Mesa Unified,627240,0.47113860215636294,California,7615
89,Mt. Diablo Unified,626370,0.46468255279769966,California,7780
122,Santa Maria Joint Union High,635670,0.4505402107292886,California,9242
60,El Monte Union High,612120,0.4363839567366,California,8090
96,Oxnard Union High,629270,0.435866107068972,California,17361
69,Fullerton Joint Union High,614760,0.43448905398201176,California,13413
116,San Jose Unified,634590,0.42590507676828926,California,8620
132,Tustin Unified,640150,0.4236006716647787,California,8164
78,Kern High,619540,0.42093199133951176,California,42521
67,Fremont Union High,614430,0.42032244681916375,California,10250
93,Oakland Unified,628050,0.4167407705928066,California,10226
50,Chino Valley Unified,608460,0.4146085855213993,California,9116
49,Chaffey Joint Union High,608160,0.40964100274363024,California,23468
70,Garden Grove Unified,614880,0.4039338900403753,California,13431
53,Colton Joint Unified,609390,0.39330092641180003,California,6366
40,ABC Unified,601620,0.38820177521538035,California,6740
95,Orange Unified,628650,0.3861413592885477,California,8273
58,East Side Union High,611820,0.3799869761409741,California,21615
106,West Contra Costa Unified,632550,0.35935258401384695,California,7775
66,Fremont Unified,614400,0.35896148004640094,California,10398
64,Folsom-Cordova Unified,613890,0.3517273248072167,California,6586
111,Salinas Union High,633980,0.3513608542176534,California,12095
76,Huntington Beach Union High,618060,0.34114580653975757,California,15082
56,Desert Sands Unified,611110,0.3403615924618855,California,9086
100,Perris Union High,630210,0.3369601456720242,California,10381
128,Sweetwater Union High,638640,0.3338962010109613,California,26586
115,San Francisco Unified,634410,0.3325768939434801,California,15697
123,Santa Rosa High,635830,0.32505302853668283,California,7709
137,William S. Hart Union High,642510,0.3087519811564501,California,15372
113,San Diego Unified,634320,0.3078300242690513,California,28554
102,Pomona Unified,631320,0.3047726833467164,California,6973
71,Glendale Unified,615240,0.30238752152191706,California,7177
92,Norwalk-La Mirada Unified,627690,0.30064247921390785,California,5192
42,Alvord Unified,602430,0.30016013817286025,California,5703
135,Vista Unified,641190,0.2973959229658387,California,6343
101,Placentia-Yorba Linda Unified,630660,0.2909294655354282,California,7797
124,Sequoia Union High,636390,0.2828318029519941,California,8633
45,Burbank Unified,606450,0.28006433706409556,California,5139
87,Montebello Unified,625470,0.27930565699431287,California,7697
121,Santa Ana Unified,635310,0.27487471728684254,California,14606
107,Riverside Unified,633150,0.2745891286180671,California,12599
52,Coachella Valley Unified,609070,0.27293472439103506,California,5455
34,Natomas Unified,600036,0.26206146384427137,California,5028
72,Grossmont Union High,616230,0.252080308430763,California,17044
46,Campbell Union High,607230,0.24988012658632486,California,8320
65,Fontana Unified,613920,0.2490861422711571,California,12064
37,Alhambra Unified,600153,0.24441068929226295,California,6376
130,Torrance Unified,639420,0.24152164436584883,California,7647
90,Napa Valley Unified,626640,0.23985236854663652,California,5902
127,Stockton Unified,638010,0.23787897896014426,California,11083
119,San Mateo Union High,634980,0.23434333839918947,California,9056
63,Fairfield-Suisun Unified,613360,0.23289797068432172,California,6863
44,Antelope Valley Union High,602820,0.22635293341497292,California,22303
62,Escondido Union High,612910,0.22587497969310122,California,7158
103,Poway Unified,631530,0.21063331964039914,California,11616
139,Val Verde Unified,691135,0.20755532515549904,California,6591
86,Modesto City High,625150,0.20701025471267337,California,15311
55,Corona-Norco Unified,609850,0.2052237659973301,California,17610
136,Whittier Union High,642480,0.2041213627420524,California,10767
80,Lodi Unified,622230,0.19780795201520968,California,8673
112,San Bernardino City Unified,634170,0.1946359499510295,California,13283
120,San Ramon Valley Unified,635130,0.17296489268491705,California,10514
83,Madera Unified,623340,0.17236415038620656,California,6045
133,Ventura Unified,640980,0.1699199878347322,California,5375
41,Acalanes Union High,601650,0.1688954348726841,California,5429
108,Roseville Joint Union High,633630,0.1667997404768446,California,10571
81,Long Beach Unified,622500,0.16618298674804777,California,21819
61,Elk Grove Unified,612330,0.16601354535907023,California,20370
110,Saddleback Valley Unified,633860,0.16465692265893817,California,8407
48,Centinela Valley Union High,607920,0.16070760742696905,California,5910
77,Jurupa Unified,619260,0.15916158795786683,California,5993
118,San Marcos Unified,634880,0.15590803389911143,California,6785
98,Palm Springs Unified,629550,0.153692789968652,California,6769
35,Tracy Joint Unified,600047,0.1503786838089501,California,5817
68,Fresno Unified,614550,0.15017090458357452,California,18263
105,Rialto Unified,632370,0.14947212633226906,California,7812
114,San Dieguito Union High,634380,0.14902871972057302,California,8888
117,San Juan Unified,634620,0.14886991726323967,California,12644
36,Porterville Unified,600064,0.14798301219690785,California,6919
51,Clovis Unified,609030,0.1476934402284744,California,13138
85,Merced Union High,624660,0.1438284374675798,California,11177
47,Capistrano Unified,607440,0.14378242131516608,California,15463
31,Lake Elsinore Unified,600027,0.14153117943831459,California,7090
79,Liberty Union High,621600,0.14100991825365425,California,8275
59,El Dorado Union High,612070,0.13936683462127714,California,6869
125,Simi Valley Unified,636840,0.13867543253140566,California,5249
138,Irvine Unified,684500,0.13242224910529765,California,10628
75,Hemet Unified,616920,0.1317116160030905,California,7978
104,Redlands Unified,632070,0.12853390483226568,California,6563
39,Santa Barbara Unified,601414,0.1251966830181232,California,6437
74,Hayward Unified,616740,0.12451616374682399,California,5212
88,Moreno Valley Unified,625800,0.12046580713612327,California,9749
109,Sacramento City Unified,633840,0.12043711204512719,California,12403
29,Hesperia Unified,600014,0.11736306308715429,California,7268
54,Conejo Valley Unified,609640,0.10801364072109848,California,6412
84,Manteca Unified,623610,0.09357416361220121,California,8094
129,Tamalpais Union High,638790,0.07972901728706701,California,5038
99,Pasadena Unified,629940,0.07327265065487587,California,5829
94,Oceanside Unified,628250,0.07325123444751366,California,5056
38,Twin Rivers Unified,601332,0.07149045730218889,California,5934
126,Victor Valley Union High,636972,0.05568231210408406,California,10226
32,Temecula Valley Unified,600028,0.05214353743395971,California,9520
33,Murrieta Valley Unified,600029,0.05153601258878482,California,8251
30,Pleasanton Unified,600020,0.03216230216508236,California,5003
57,Downey Unified,611460,0.007646544671862192,California,8109
