,District Name,nces_id,Dissimilarity,State,Size
194,Pajaro Valley Unified,629490,0.6831258923014973,California,5574
91,Anaheim Union High,602630,0.5108235941463289,California,20179
165,Los Angeles Unified,622710,0.487905353279702,California,125958
148,Hacienda la Puente Unified,616325,0.4735999960685028,California,5167
186,Newport-Mesa Unified,627240,0.47113860215636294,California,7615
212,Rowland Unified,633750,0.4703967688287004,California,3827
182,Mt. Diablo Unified,626370,0.46468255279769966,California,7780
235,Santa Maria Joint Union High,635670,0.4505402107292886,California,9242
130,El Monte Union High,612120,0.4363839567366,California,8090
193,Oxnard Union High,629270,0.435866107068972,California,17361
141,Fullerton Joint Union High,614760,0.43448905398201176,California,13413
222,San Jose Unified,634590,0.42590507676828926,California,8620
249,Tustin Unified,640150,0.4236006716647787,California,8164
155,Kern High,619540,0.42093199133951176,California,42521
139,Fremont Union High,614430,0.42032244681916375,California,10250
189,Oakland Unified,628050,0.4167407705928066,California,10226
113,Chino Valley Unified,608460,0.4146085855213993,California,9116
111,Chaffey Joint Union High,608160,0.40964100274363024,California,23468
143,Garden Grove Unified,614880,0.4039338900403753,California,13431
156,South Monterey County Joint Union High,619650,0.39846727759305817,California,2748
117,Colton Joint Unified,609390,0.39330092641180003,California,6366
87,ABC Unified,601620,0.38820177521538035,California,6740
191,Orange Unified,628650,0.3861413592885477,California,8273
128,East Side Union High,611820,0.3799869761409741,California,21615
209,West Contra Costa Unified,632550,0.35935258401384695,California,7775
138,Fremont Unified,614400,0.35896148004640094,California,10398
136,Folsom-Cordova Unified,613890,0.3517273248072167,California,6586
215,Salinas Union High,633980,0.3513608542176534,California,12095
152,Huntington Beach Union High,618060,0.34114580653975757,California,15082
126,Desert Sands Unified,611110,0.3403615924618855,California,9086
200,Perris Union High,630210,0.3369601456720242,California,10381
245,Sweetwater Union High,638640,0.3338962010109613,California,26586
220,San Francisco Unified,634410,0.3325768939434801,California,15697
163,Lompoc Unified,622410,0.33257188525711157,California,2962
237,Santa Rosa High,635830,0.32505302853668283,California,7709
260,William S. Hart Union High,642510,0.3087519811564501,California,15372
218,San Diego Unified,634320,0.3078300242690513,California,28554
205,Pomona Unified,631320,0.3047726833467164,California,6973
145,Glendale Unified,615240,0.30238752152191706,California,7177
187,Norwalk-La Mirada Unified,627690,0.30064247921390785,California,5192
90,Alvord Unified,602430,0.30016013817286025,California,5703
254,Vista Unified,641190,0.2973959229658387,California,6343
203,Placentia-Yorba Linda Unified,630660,0.2909294655354282,California,7797
238,Sequoia Union High,636390,0.2828318029519941,California,8633
101,Burbank Unified,606450,0.28006433706409556,California,5139
176,Montebello Unified,625470,0.27930565699431287,California,7697
232,Santa Ana Unified,635310,0.27487471728684254,California,14606
210,Riverside Unified,633150,0.2745891286180671,California,12599
116,Coachella Valley Unified,609070,0.27293472439103506,California,5455
78,Natomas Unified,600036,0.26206146384427137,California,5028
97,Bellflower Unified,604440,0.26045934202358784,California,4842
147,Grossmont Union High,616230,0.252080308430763,California,17044
103,Campbell Union High,607230,0.24988012658632486,California,8320
137,Fontana Unified,613920,0.2490861422711571,California,12064
179,Morgan Hill Unified,625830,0.2465644486247344,California,2839
177,Monterey Peninsula Unified,625530,0.24579731978432254,California,3223
83,Alhambra Unified,600153,0.24441068929226295,California,6376
247,Torrance Unified,639420,0.24152164436584883,California,7647
183,Napa Valley Unified,626640,0.23985236854663652,California,5902
244,Stockton Unified,638010,0.23787897896014426,California,11083
229,San Rafael City High,635110,0.23576042278332357,California,2608
243,South San Francisco Unified,637530,0.23545902936778484,California,2644
