,District Name,nces_id,Dissimilarity,State,Size
119,Detroit Public Schools Community District,2601103,0.7640839336451681,MICHIGAN,14160
204,SPRING BRANCH ISD,4841100,0.6119664505490846,Texas,10353
99,City of Chicago SD 299,1709930,0.5797458950193791,ILLINOIS,104144
90,DeKalb County,1301740,0.5401662571781953,Georgia,27297
124,OMAHA PUBLIC SCHOOLS,3174820,0.5306500927971611,Nebraska,14982
14,Anaheim Union High,602630,0.5108235941463289,California,20179
62,District of Columbia Public Schools,1100030,0.48914680694248863,District of Columbia,12563
32,Los Angeles Unified,622710,0.487905353279702,California,125958
221,Milwaukee School District,5509600,0.487128692736071,Wisconsin,17590
67,MIAMI-DADE,1200390,0.48698041890786453,FLORIDA,106745
173,AUSTIN ISD,4808940,0.46821475327188555,Texas,21349
158,Charleston 01,4501440,0.4655653341222125,South Carolina,13583
151,Cleveland Municipal,3904378,0.46506422537045894,OHIO,10765
162,Hamilton County,4701590,0.4593602526399604,Tennessee,14628
117,Prince George's County Public Schools,2400510,0.4520476726821822,Maryland,37053
57,School District No. 1 in the county of Denver and State of C,803360,0.4492679650098497,COLORADO,28220
36,Oxnard Union High,629270,0.435866107068972,California,17361
26,Fullerton Joint Union High,614760,0.43448905398201176,California,13413
186,HOUSTON ISD,4823640,0.42566429208235546,Texas,51321
161,Shelby County,4700148,0.42499889362270354,Tennessee,30444
111,Baltimore City Public Schools,2400090,0.42351542770505574,Maryland,23799
130,NEW YORK CITY GEOGRAPHIC DISTRICT #10,3600087,0.42262914804649176,New York,16268
156,Philadelphia City SD,4218990,0.4215051828665169,Pennsylvania,37047
30,Kern High,619540,0.42093199133951176,California,42521
24,Fremont Union High,614430,0.42032244681916375,California,10250
169,IDEA PUBLIC SCHOOLS,4800211,0.41833109520489115,Texas,16467
35,Oakland Unified,628050,0.4167407705928066,California,10226
17,Chaffey Joint Union High,608160,0.40964100274363024,California,23468
27,Garden Grove Unified,614880,0.4039338900403753,California,13431
202,SAN ANTONIO ISD,4838730,0.4016386336049939,Texas,12702
85,VOLUSIA,1201920,0.3981990872531635,Florida,19434
183,FORT WORTH ISD,4819700,0.39364525296788183,Texas,23767
59,Jefferson County School District No. R-1,804800,0.39311618672333815,Colorado,25057
150,Cincinnati Public Schools,3904375,0.3822512517921734,Ohio,11042
165,Davidson County,4703180,0.3820232696509259,Tennessee,25100
60,Adams 12 Five Star Schools,806900,0.381232940615974,Colorado,10626
20,East Side Union High,611820,0.3799869761409741,California,21615
194,LEWISVILLE ISD,4827300,0.37804680874922036,Texas,16618
168,YES PREP PUBLIC SCHOOLS INC,4800209,0.3744225048772059,Texas,11598
107,Jefferson Parish,2200840,0.3725746517919771,Louisiana,13696
