,District Name,nces_id,Dissimilarity,State,Size
281,Detroit Public Schools Community District,2601103,0.7640839336451681,MICHIGAN,14160
97,Pajaro Valley Unified,629490,0.6831258923014973,California,5574
495,SPRING BRANCH ISD,4841100,0.6119664505490846,Texas,10353
222,City of Chicago SD 299,1709930,0.5797458950193791,ILLINOIS,104144
200,DeKalb County,1301740,0.5401662571781953,Georgia,27297
311,OMAHA PUBLIC SCHOOLS,3174820,0.5306500927971611,Nebraska,14982
430,KIPP TEXAS PUBLIC SCHOOLS,4800264,0.5113103371296828,TEXAS,5651
43,Anaheim Union High,602630,0.5108235941463289,California,20179
388,OKLAHOMA CITY,4022770,0.49252888578056025,Oklahoma,8017
159,District of Columbia Public Schools,1100030,0.48914680694248863,District of Columbia,12563
82,Los Angeles Unified,622710,0.487905353279702,California,125958
552,Milwaukee School District,5509600,0.487128692736071,Wisconsin,17590
167,MIAMI-DADE,1200390,0.48698041890786453,FLORIDA,106745
73,Hacienda la Puente Unified,616325,0.4735999960685028,California,5167
91,Newport-Mesa Unified,627240,0.47113860215636294,California,7615
523,RICHMOND CITY PBLC SCHS,5103240,0.4710877596187183,Virginia,5741
436,AUSTIN ISD,4808940,0.46821475327188555,Texas,21349
404,Charleston 01,4501440,0.4655653341222125,South Carolina,13583
377,Cleveland Municipal,3904378,0.46506422537045894,OHIO,10765
89,Mt. Diablo Unified,626370,0.46468255279769966,California,7780
416,Hamilton County,4701590,0.4593602526399604,Tennessee,14628
275,Prince George's County Public Schools,2400510,0.4520476726821822,Maryland,37053
122,Santa Maria Joint Union High,635670,0.4505402107292886,California,9242
146,School District No. 1 in the county of Denver and State of C,803360,0.4492679650098497,COLORADO,28220
60,El Monte Union High,612120,0.4363839567366,California,8090
96,Oxnard Union High,629270,0.435866107068972,California,17361
69,Fullerton Joint Union High,614760,0.43448905398201176,California,13413
319,Newark Public School District,3411340,0.43394742007803655,New Jersey,9642
116,San Jose Unified,634590,0.42590507676828926,California,8620
460,HOUSTON ISD,4823640,0.42566429208235546,Texas,51321
415,Shelby County,4700148,0.42499889362270354,Tennessee,30444
132,Tustin Unified,640150,0.4236006716647787,California,8164
266,Baltimore City Public Schools,2400090,0.42351542770505574,Maryland,23799
329,NEW YORK CITY GEOGRAPHIC DISTRICT #10,3600087,0.42262914804649176,New York,16268
398,Philadelphia City SD,4218990,0.4215051828665169,Pennsylvania,37047
78,Kern High,619540,0.42093199133951176,California,42521
67,Fremont Union High,614430,0.42032244681916375,California,10250
429,IDEA PUBLIC SCHOOLS,4800211,0.41833109520489115,Texas,16467
93,Oakland Unified,628050,0.4167407705928066,California,10226
50,Chino Valley Unified,608460,0.4146085855213993,California,9116
219,Bremen CHSD 228,1707050,0.4116815640364864,Illinois,5198
49,Chaffey Joint Union High,608160,0.40964100274363024,California,23468
374,Wayne County Public Schools,3704880,0.40587456450676646,North Carolina,5481
70,Garden Grove Unified,614880,0.4039338900403753,California,13431
221,CUSD 300,1708550,0.40267299609546137,Illinois,6569
492,SAN ANTONIO ISD,4838730,0.4016386336049939,Texas,12702
191,VOLUSIA,1201920,0.3981990872531635,Florida,19434
18,Paradise Valley Unified District (4241),405930,0.3959714584714584,Arizona,9536
453,FORT WORTH ISD,4819700,0.39364525296788183,Texas,23767
53,Colton Joint Unified,609390,0.39330092641180003,California,6366
152,Jefferson County School District No. R-1,804800,0.39311618672333815,Colorado,25057
40,ABC Unified,601620,0.38820177521538035,California,6740
324,NEW YORK CITY GEOGRAPHIC DISTRICT # 3,3600078,0.3881678177671248,New York,8464
95,Orange Unified,628650,0.3861413592885477,California,8273
21,Scottsdale Unified District (4240),407570,0.38364640826881014,Arizona,7854
427,PREMIER HIGH SCHOOLS,4800207,0.38322660487285376,TEXAS,6801
376,Cincinnati Public Schools,3904375,0.3822512517921734,Ohio,11042
419,Davidson County,4703180,0.3820232696509259,Tennessee,25100
154,Adams 12 Five Star Schools,806900,0.381232940615974,Colorado,10626
498,TYLER ISD,4843470,0.3804703228916504,TEXAS,5075
58,East Side Union High,611820,0.3799869761409741,California,21615
473,LEWISVILLE ISD,4827300,0.37804680874922036,Texas,16618
325,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,3600083,0.3744653723558388,New York,5186
428,YES PREP PUBLIC SCHOOLS INC,4800209,0.3744225048772059,Texas,11598
312,STATE-SPONSORED CHARTER SCHOOLS,3200001,0.37427202626568323,Nevada,5743
258,Jefferson Parish,2200840,0.3725746517919771,Louisiana,13696
519,LOUDOUN CO PBLC SCHS,5102250,0.36749122568476744,Virginia,18276
332,NEW YORK CITY GEOGRAPHIC DISTRICT #13,3600091,0.36704823333451464,New York,11499
431,ALDINE ISD,4807710,0.3668240634914091,Texas,17767
370,Public Schools of Robeson County,3703930,0.36348231327638536,North Carolina,6294
372,Union County Public Schools,3704620,0.3623832365564251,North Carolina,14200
3,Jefferson County,101920,0.362381275754071,Alabama,12284
206,Hall County,1302610,0.3622816740340111,GEORGIA,8790
26,Yuma Union High School District (4507),409630,0.3621777341076333,Arizona,11068
106,West Contra Costa Unified,632550,0.35935258401384695,California,7775
257,East Baton Rouge Parish,2200540,0.3592958050253424,Louisiana,10369
66,Fremont Unified,614400,0.35896148004640094,California,10398
499,UNITED ISD,4843650,0.35841963943229765,Texas,13170
321,ALBUQUERQUE PUBLIC SCHOOLS,3500060,0.3552314600325376,New Mexico,24800
446,DALLAS ISD,4816230,0.3544043654967832,Texas,41816
323,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,0.3541426065250046,New York,34231
64,Folsom-Cordova Unified,613890,0.3517273248072167,California,6586
111,Salinas Union High,633980,0.3513608542176534,California,12095
434,AMARILLO ISD,4808130,0.34979262452570914,Texas,8509
205,Gwinnett County,1302550,0.3485543553558047,Georgia,59111
267,Baltimore County Public Schools,2400120,0.34723816468545177,Maryland,33964
313,CLARK COUNTY SCHOOL DISTRICT,3200060,0.34573909905616634,NEVADA,104524
470,LAMAR CISD,4826580,0.3446555998625179,Texas,10699
297,RANKIN CO SCHOOL DIST,2803830,0.34421122250069625,Mississippi,6276
262,Rapides Parish,2201290,0.34332077188539867,Louisiana,6129
192,Atlanta Public Schools,1300120,0.34259539514185705,Georgia,13759
501,YSLETA ISD,4846680,0.3414082557619012,Texas,13070
76,Huntington Beach Union High,618060,0.34114580653975757,California,15082
56,Desert Sands Unified,611110,0.3403615924618855,California,9086
224,SD U-46,1713710,0.3389410412428422,Illinois,12200
396,Salem-Keizer SD 24J,4110820,0.3377869367975064,Oregon,12858
278,Boston,2502790,0.33753513065150603,Massachusetts,16773
