,District Name,nces_id,Dissimilarity,State,Size
583,Detroit Public Schools Community District,2601103,0.7640839336451681,MICHIGAN,14160
194,Pajaro Valley Unified,629490,0.6831258923014973,California,5574
1138,SPRING BRANCH ISD,4841100,0.6119664505490846,Texas,10353
424,City of Chicago SD 299,1709930,0.5797458950193791,ILLINOIS,104144
662,MADISON CO SCHOOL DIST,2802790,0.5546519721577727,Mississippi,3598
1009,UPLIFT EDUCATION,4800030,0.5418608459942178,TEXAS,4610
374,DeKalb County,1301740,0.5401662571781953,Georgia,27297
701,OMAHA PUBLIC SCHOOLS,3174820,0.5306500927971611,Nebraska,14982
266,State Charter School Institute,800020,0.512492784695308,Colorado,4081
1014,KIPP TEXAS PUBLIC SCHOOLS,4800264,0.5113103371296828,TEXAS,5651
91,Anaheim Union High,602630,0.5108235941463289,California,20179
897,OKLAHOMA CITY,4022770,0.49252888578056025,Oklahoma,8017
314,District of Columbia Public Schools,1100030,0.48914680694248863,District of Columbia,12563
165,Los Angeles Unified,622710,0.487905353279702,California,125958
1273,Milwaukee School District,5509600,0.487128692736071,Wisconsin,17590
324,MIAMI-DADE,1200390,0.48698041890786453,FLORIDA,106745
397,Polk County,1304200,0.4793815723103343,Georgia,2369
729,Middlesex County Vocational and Technical School District,3410080,0.47551032065058296,New Jersey,2142
148,Hacienda la Puente Unified,616325,0.4735999960685028,California,5167
186,Newport-Mesa Unified,627240,0.47113860215636294,California,7615
1192,RICHMOND CITY PBLC SCHS,5103240,0.4710877596187183,Virginia,5741
212,Rowland Unified,633750,0.4703967688287004,California,3827
1025,AUSTIN ISD,4808940,0.46821475327188555,Texas,21349
350,PUTNAM,1201620,0.46569474785242426,Florida,4232
949,Charleston 01,4501440,0.4655653341222125,South Carolina,13583
869,Cleveland Municipal,3904378,0.46506422537045894,OHIO,10765
182,Mt. Diablo Unified,626370,0.46468255279769966,California,7780
985,Hamilton County,4701590,0.4593602526399604,Tennessee,14628
0,Marshall County,100006,0.4584077070120137,Alabama,2306
821,Chatham County Schools,3700750,0.4548226005339545,North Carolina,2548
561,Prince George's County Public Schools,2400510,0.4520476726821822,Maryland,37053
235,Santa Maria Joint Union High,635670,0.4505402107292886,California,9242
274,School District No. 1 in the county of Denver and State of C,803360,0.4492679650098497,COLORADO,28220
716,Camden County Technical School District,3402670,0.4420420497433333,New Jersey,2222
130,El Monte Union High,612120,0.4363839567366,California,8090
193,Oxnard Union High,629270,0.435866107068972,California,17361
141,Fullerton Joint Union High,614760,0.43448905398201176,California,13413
719,Edison Township School District,3404500,0.4340128982089577,New Jersey,4866
733,Newark Public School District,3411340,0.43394742007803655,New Jersey,9642
222,San Jose Unified,634590,0.42590507676828926,California,8620
1081,HOUSTON ISD,4823640,0.42566429208235546,Texas,51321
979,Shelby County,4700148,0.42499889362270354,Tennessee,30444
