,District Name,nces_id,Dissimilarity,State,Size
68,Rocklin Unified,600013,0.0803693060876969,California,4332
69,Hesperia Unified,600014,0.16941370379091125,California,7268
70,Upland Unified,600016,0.017748067951453124,California,3386
71,Apple Valley Unified,600017,0.12803263889438116,California,3983
72,Dublin Unified,600019,0.019625046333608814,California,3441
73,Pleasanton Unified,600020,0.05019286886500238,California,5003
74,Lake Elsinore Unified,600027,0.1291149411901712,California,7090
75,Temecula Valley Unified,600028,0.0848563507411534,California,9520
76,Murrieta Valley Unified,600029,0.12391873158810335,California,8251
77,Redondo Beach Unified,600032,0.0061497527346425955,California,3160
78,Natomas Unified,600036,0.13146207295888823,California,5028
79,Tracy Joint Unified,600047,0.16530003211268235,California,5817
80,Paso Robles Joint Unified,600048,0.02914144003299056,California,2443
81,Porterville Unified,600064,0.1547004572733371,California,6919
82,Dinuba Unified,600065,0.019468186134852798,California,2212
83,Alhambra Unified,600153,0.1840689129287157,California,6376
84,Turlock Unified,600158,0.03054688331368988,California,4792
85,Twin Rivers Unified,601332,0.3007869405668554,California,5934
86,Santa Barbara Unified,601414,0.07051434352575602,California,6437
87,ABC Unified,601620,0.1319836293974225,California,6740
88,Acalanes Union High,601650,0.08771068366482986,California,5429
89,Alameda Unified,601770,0.07666959578207379,California,3172
90,Alvord Unified,602430,0.28533221887665505,California,5703
91,Anaheim Union High,602630,0.34465729429390896,California,20179
92,Antelope Valley Union High,602820,0.3499802165619181,California,22303
93,Antioch Unified,602850,0.06506596690589751,California,4605
94,Azusa Unified,603600,0.14064909351362692,California,2200
95,Baldwin Park Unified,603690,0.113973063973064,California,3584
96,Beaumont Unified,604290,0.005716128516247044,California,3285
97,Bellflower Unified,604440,0.2997067816019964,California,4842
98,Berkeley Unified,604740,0.02280369659121686,California,3274
100,Brawley Union High,605820,0.044892200216804,California,2048
101,Burbank Unified,606450,0.2851303496482267,California,5139
102,Calexico Unified,606900,0.0687120485778204,California,3136
103,Campbell Union High,607230,0.2092730380529563,California,8320
104,Capistrano Unified,607440,0.09480554955046606,California,15463
105,Carlsbad Unified,607500,0.09368565162431496,California,3805
106,Castro Valley Unified,607800,0.01060137109137716,California,2825
107,Centinela Valley Union High,607920,0.1966642991844432,California,5910
108,Central Unified,607970,0.1542793063472664,California,4441
109,Central Union High,608010,0.1405711336024925,California,4092
110,Ceres Unified,608130,0.20750922283026646,California,4361
111,Chaffey Joint Union High,608160,0.37945930744796214,California,23468
112,Chico Unified,608370,0.09542510422870759,California,3887
113,Chino Valley Unified,608460,0.13850241863816548,California,9116
114,Claremont Unified,608760,0.0058913952854449045,California,2398
115,Clovis Unified,609030,0.1578292369573872,California,13138
116,Coachella Valley Unified,609070,0.4779951613716168,California,5455
117,Colton Joint Unified,609390,0.384284571650229,California,6366
118,Compton Unified,609620,0.15251598554350845,California,4916
119,Conejo Valley Unified,609640,0.04829837869534571,California,6412
120,Corona-Norco Unified,609850,0.25785913759940177,California,17610
121,Cotati-Rohnert Park Unified,609940,0.10978688194082761,California,2005
122,Covina-Valley Unified,610050,0.14317430107889592,California,4187
123,Culver City Unified,610260,0.0,California,2228
124,Davis Joint Unified,610620,0.07921423878539155,California,2437
125,Delano Joint Union High,610860,0.08868735040903081,California,4055
126,Desert Sands Unified,611110,0.3511122010298695,California,9086
127,Downey Unified,611460,0.013790718934841913,California,8109
128,East Side Union High,611820,0.3410782635063636,California,21615
129,El Dorado Union High,612070,0.07008472002857105,California,6869
130,El Monte Union High,612120,0.3468269434121877,California,8090
131,El Rancho Unified,612180,0.014998895515794159,California,2533
132,Elk Grove Unified,612330,0.3029618783181502,California,20370
133,Escondido Union High,612910,0.2717870078597706,California,7158
134,Fairfield-Suisun Unified,613360,0.2269996625256883,California,6863
135,Fallbrook Union High,613530,0.03731529626039193,California,2125
136,Folsom-Cordova Unified,613890,0.18604130924748546,California,6586
137,Fontana Unified,613920,0.20995745659422793,California,12064
138,Fremont Unified,614400,0.21317725789669595,California,10398
139,Fremont Union High,614430,0.2615040813185074,California,10250
140,Fresno Unified,614550,0.34464410272259716,California,18263
141,Fullerton Joint Union High,614760,0.13045640545289555,California,13413
142,Galt Joint Union High,614820,0.10494438159879338,California,2199
143,Garden Grove Unified,614880,0.46054155441870215,California,13431
144,Gilroy Unified,615180,0.12186254017880668,California,3927
145,Glendale Unified,615240,0.19249683532164646,California,7177
146,Glendora Unified,615270,0.0011266526154435543,California,2385
147,Grossmont Union High,616230,0.3241202919991811,California,17044
148,Hacienda la Puente Unified,616325,0.24490588176552827,California,5167
149,Hanford Joint Union High,616500,0.11508646392367324,California,4128
150,Hayward Unified,616740,0.15074959584786865,California,5212
151,Hemet Unified,616920,0.22640063963784404,California,7978
152,Huntington Beach Union High,618060,0.40136107634082085,California,15082
153,Jefferson Union High,618930,0.4963330018619146,California,3920
154,Jurupa Unified,619260,0.20513629615150114,California,5993
155,Kern High,619540,0.4874579960985563,California,42521
156,South Monterey County Joint Union High,619650,0.41303625377643505,California,2748
157,Kings Canyon Joint Unified,619700,0.2122928307972005,California,2816
158,Las Virgenes Unified,621000,0.038237472414687584,California,3727
159,Liberty Union High,621600,0.10854330186010476,California,8275
160,Lincoln Unified,621690,0.011903417797061257,California,3200
161,Livermore Valley Joint Unified,622110,0.021498693185440204,California,4214
162,Lodi Unified,622230,0.35211153498249886,California,8673
163,Lompoc Unified,622410,0.3361788388985866,California,2962
164,Long Beach Unified,622500,0.3738425956921462,California,21819
165,Los Angeles Unified,622710,0.5505586435135662,California,125407
166,Los Banos Unified,622740,0.21444366345320123,California,3479
167,Los Gatos-Saratoga Union High,622800,0.3614026610289379,California,3375
168,Lucia Mar Unified,623080,0.17102033609845613,California,3338
169,Lynwood Unified,623160,0.22861356932153395,California,4088
170,Madera Unified,623340,0.19972121590001038,California,6045
171,Manteca Unified,623610,0.2310953915633058,California,8094
172,Marysville Joint Unified,624090,0.23656368048129559,California,2766
173,Milpitas Unified,624500,0.03847553066970357,California,3207
174,Merced Union High,624660,0.11532728367356385,California,11177
175,Modesto City High,625150,0.2054287265430173,California,15311
176,Montebello Unified,625470,0.14279222036137793,California,7697
177,Monterey Peninsula Unified,625530,0.31150418965108384,California,3215
178,Moreno Valley Unified,625800,0.21268822258143869,California,9749
179,Morgan Hill Unified,625830,0.06454542390526873,California,2839
180,Morongo Unified,625860,0.13927576833578242,California,2192
181,Mountain View-Los Altos Union High,626310,0.03519223442326269,California,4514
182,Mt. Diablo Unified,626370,0.4315688491057466,California,7780
183,Napa Valley Unified,626640,0.27886126061341515,California,5902
184,Nevada Joint Union High,626880,0.05181097317586131,California,2481
185,New Haven Unified,626910,0.01837790572826469,California,3580
186,Newport-Mesa Unified,627240,0.4488092570031067,California,7615
187,Norwalk-La Mirada Unified,627690,0.42099322302895215,California,5192
