District Name,nces_id,Dissimilarity,State,Size
Baldwin County,100270,0.43886848308755,Alabama,9882
Birmingham City,100390,0.2955974842767296,Alabama,5455
Huntsville City,101800,0.26312995180919707,Alabama,6816
Jefferson County,101920,0.4769446391030133,Alabama,12284
Madison County,102220,0.1615942028985507,Alabama,5408
Mobile County,102370,0.3381887315689035,Alabama,14979
Montgomery County,102430,0.7670056100981768,Alabama,7378
Shelby County,103030,0.38202375513933307,Alabama,6841
Tuscaloosa County,103390,0.45649799781579914,Alabama,5367
Anchorage School District,200180,0.18951607630852915,ALASKA,12135
Matanuska-Susitna Borough School District,200510,0.07056165454914115,Alaska,5298
Agua Fria Union High School District (4289),400450,0.33020677314453994,Arizona,9219
Buckeye Union High School District (4284),401410,0.2632977908508748,Arizona,5176
Chandler Unified District #80 (4242),401870,0.43608953376838167,Arizona,17748
Dysart Unified District (4243),402690,0.1804141994762683,Arizona,8275
Gilbert Unified District (4239),403400,0.3206760789715335,Arizona,11910
Glendale Union High School District (4285),403450,0.18886507053079482,Arizona,16695
Mesa Unified District (4235),404970,0.2988075016996653,Arizona,18611
Paradise Valley Unified District (4241),405930,0.3680183199285076,Arizona,9536
Peoria Unified School District (4237),406250,0.18563800163800165,Arizona,13101
Phoenix Union High School District (4286),406330,0.4250846163610034,Arizona,27890
Scottsdale Unified District (4240),407570,0.5531072309983801,Arizona,7854
Deer Valley Unified District (4246),407750,0.431475048921636,Arizona,10867
Tempe Union High School District (4287),408340,0.4090090445485257,Arizona,12997
Tolleson Union High School District (4288),408520,0.3164211618684446,Arizona,13335
Tucson Unified District (4403),408800,0.4490764042183023,Arizona,13876
Yuma Union High School District (4507),409630,0.45894537668675006,Arizona,11068
BENTONVILLE SCHOOL DISTRICT,503060,0.1477272727272727,Arkansas,5438
LITTLE ROCK SCHOOL DISTRICT,509000,0.7369497506917801,Arkansas,6185
Hesperia Unified,600014,0.2013107948189008,California,7268
Pleasanton Unified,600020,0.041410731323560226,California,5003
Lake Elsinore Unified,600027,0.20228567900948763,California,7090
Temecula Valley Unified,600028,0.14018502821890494,California,9520
Murrieta Valley Unified,600029,0.16407681447713518,California,8251
Natomas Unified,600036,0.3637869191727608,California,5028
Tracy Joint Unified,600047,0.2062860589746326,California,5817
Porterville Unified,600064,0.25735887629091514,California,6585
Alhambra Unified,600153,0.25551460142357235,California,6376
Twin Rivers Unified,601332,0.09897708132001626,California,5934
Santa Barbara Unified,601414,0.3155955730632152,California,6437
ABC Unified,601620,0.49241731839954056,California,6740
Acalanes Union High,601650,0.18394233159333834,California,5429
Alvord Unified,602430,0.30982814071210657,California,5703
Anaheim Union High,602630,0.5751412102400983,California,20179
Antelope Valley Union High,602820,0.3938207128009013,California,22270
Burbank Unified,606450,0.19232530292407823,California,5139
Campbell Union High,607230,0.25634468679488553,California,8320
Capistrano Unified,607440,0.3671854716587726,California,15463
Centinela Valley Union High,607920,0.21900469982722998,California,5884
Chaffey Joint Union High,608160,0.44274765619972,California,23468
Chino Valley Unified,608460,0.5101192158868089,California,9116
Clovis Unified,609030,0.2347030000380056,California,13097
Colton Joint Unified,609390,0.3592526690391459,California,6366
Conejo Valley Unified,609640,0.17812860540133268,California,6337
Corona-Norco Unified,609850,0.315751971886384,California,17610
Desert Sands Unified,611110,0.44592788080146406,California,9086
Downey Unified,611460,0.08588051341959954,California,8109
East Side Union High,611820,0.41532524865417086,California,21615
El Dorado Union High,612070,0.49136345617717586,California,6869
El Monte Union High,612120,0.43816868591988156,California,8090
Elk Grove Unified,612330,0.22064836866352155,California,20370
Escondido Union High,612910,0.14585115359131548,California,7158
Fairfield-Suisun Unified,613360,0.29235172453973435,California,6863
Folsom-Cordova Unified,613890,0.4562487033647813,California,6586
Fontana Unified,613920,0.3672460465057168,California,12064
Fremont Unified,614400,0.4200566702023296,California,10398
Fremont Union High,614430,0.5119469742967011,California,10250
Fresno Unified,614550,0.19011233836147823,California,18263
Fullerton Joint Union High,614760,0.6296460237962742,California,13413
Garden Grove Unified,614880,0.41119843770591963,California,13431
Glendale Unified,615240,0.4091833543221869,California,7177
Grossmont Union High,616230,0.12774691237476782,California,16880
Hacienda la Puente Unified,616325,0.5577680606878557,California,5167
Hayward Unified,616740,0.22881414342694179,California,5212
Hemet Unified,616920,0.33809454658108484,California,7978
Huntington Beach Union High,618060,0.31208118243819005,California,15082
Jurupa Unified,619260,0.21437505265409018,California,5993
Kern High,619540,0.552005734263211,California,42521
Liberty Union High,621600,0.2744330655538356,California,8275
Lodi Unified,622230,0.4366916681817258,California,8673
Long Beach Unified,622500,0.26335792919477186,California,21819
Los Angeles Unified,622710,0.5242594487000877,California,117394
Madera Unified,623340,0.19448322459974401,California,5832
Manteca Unified,623610,0.2496177873935402,California,8094
Merced Union High,624660,0.18143025663248108,California,11177
Modesto City High,625150,0.2421777266632394,California,15311
Montebello Unified,625470,0.5067463183660367,California,7697
Moreno Valley Unified,625800,0.17545865456259596,California,9749
Mt. Diablo Unified,626370,0.39515854657141836,California,7780
Napa Valley Unified,626640,0.6845282656125745,California,5902
Newport-Mesa Unified,627240,0.40038567200415714,California,7615
Norwalk-La Mirada Unified,627690,0.28774928774928776,California,5192
Oakland Unified,628050,0.5338497187363686,California,10226
Oceanside Unified,628250,0.26047418288351504,California,5056
Orange Unified,628650,0.4310317133846545,California,8273
Oxnard Union High,629270,0.3085998010983681,California,17361
Pajaro Valley Unified,629490,0.4084473242140629,California,5574
Palm Springs Unified,629550,0.2949929145016533,California,6769
Pasadena Unified,629940,0.15510781045613736,California,5829
Perris Union High,630210,0.4219489999672657,California,10381
Placentia-Yorba Linda Unified,630660,0.18490755901865935,California,7797
Pomona Unified,631320,0.42874106852874316,California,6973
Poway Unified,631530,0.374156522310677,California,11616
Redlands Unified,632070,0.30383073789342274,California,6563
Rialto Unified,632370,0.1716246569541263,California,7812
West Contra Costa Unified,632550,0.414301129930024,California,7775
Riverside Unified,633150,0.4573176406768123,California,12599
Roseville Joint Union High,633630,0.236417422269547,California,10571
Sacramento City Unified,633840,0.2007019023902375,California,12403
Saddleback Valley Unified,633860,0.16965619285584668,California,8407
Salinas Union High,633980,0.21637167840418198,California,12095
San Bernardino City Unified,634170,0.16832308878721672,California,13283
San Diego Unified,634320,0.43532735566905156,California,28554
San Dieguito Union High,634380,0.4653262142122254,California,8888
San Francisco Unified,634410,0.3986854767355379,California,15697
San Jose Unified,634590,0.5454691419208674,California,8620
San Juan Unified,634620,0.36736156013113735,California,12554
San Marcos Unified,634880,0.06470292943889569,California,6785
San Mateo Union High,634980,0.26932577399637914,California,9056
San Ramon Valley Unified,635130,0.39819608671377626,California,10514
Santa Ana Unified,635310,0.3301360977309037,California,14606
Santa Maria Joint Union High,635670,0.23200879120879125,California,9242
Santa Rosa High,635830,0.24856834219361992,California,7709
Sequoia Union High,636390,0.549806776117121,California,8633
Simi Valley Unified,636840,0.24484228532801752,California,5249
Victor Valley Union High,636972,0.3541728488791087,California,10109
Stockton Unified,638010,0.34445544078888946,California,11083
Sweetwater Union High,638640,0.4105694046331493,California,26586
Tamalpais Union High,638790,0.12980487347264238,California,5038
Torrance Unified,639420,0.23200908723150862,California,7647
Tulare Joint Union High,639930,0.15916828986333476,CALIFORNIA,5764
Tustin Unified,640150,0.5829238657132616,California,8164
Ventura Unified,640980,0.25255940781082264,California,5176
Visalia Unified,641160,0.09564247195189984,CALIFORNIA,9332
Vista Unified,641190,0.4160778609032973,California,6343
Whittier Union High,642480,0.23825796239589342,California,10767
William S. Hart Union High,642510,0.4188986442714425,California,15372
Irvine Unified,684500,0.1804370844298739,California,10628
Val Verde Unified,691135,0.2636562302230178,California,6591
Academy School District No. 20 in the county of El Paso an,801920,0.15940280034037285,Colorado,8940
Aurora Joint District No. 28 of the counties of Adams and A,802340,0.15727800069128234,Colorado,10453
Boulder Valley School District No. Re2,802490,0.39737347325771766,Colorado,9694
School District 27J,802580,0.3585583168082668,Colorado,5662
Cherry Creek School District No. 5 in the county of Arapah,802910,0.3086457818344842,Colorado,17843
Colorado Springs School District No. 11 in the county of E,803060,0.32438807707624906,Colorado,7265
School District No. 1 in the county of Denver and State of C,803360,0.38837075808409055,COLORADO,27183
Douglas County School District No. Re 1,803450,0.40006411118433577,Colorado,20175
El Paso County Colorado School District 49,803870,0.5794687035976782,Colorado,9871
Poudre School District R-1,803990,0.38999184242124263,COLORADO,8744
Mesa County Valley School District No. 51,804350,0.36388840954846124,Colorado,5885
GreeleySchool District No. 6 in the county of Weld and Sta,804410,0.14817813765182186,COLORADO,5776
Jefferson County School District No. R-1,804800,0.3319288774803726,Colorado,24907
St. Vrain Valley School District No. Re1J,805370,0.47639947002318644,Colorado,9957
Adams 12 Five Star Schools,806900,0.3383368438324741,Colorado,10382
Connecticut Technical Education and Career System,900002,0.2860401846205962,Connecticut,10974
Bridgeport School District,900450,0.395869868554644,Connecticut,5100
Hartford School District,901920,0.3251582540682067,Connecticut,5154
New Haven School District,902790,0.2751779916409195,Connecticut,5515
District of Columbia Public Schools,1100030,0.538568161002297,District of Columbia,10395
ALACHUA,1200030,0.3244783861671471,Florida,8733
BAY,1200090,0.19677729100402086,Florida,7544
BREVARD,1200150,0.37770759500926054,Florida,23966
BROWARD,1200180,0.24055116049529202,FLORIDA,84723
CHARLOTTE,1200240,0.19559386973180076,Florida,5366
CLAY,1200300,0.24451482309143135,FLORIDA,12816
COLLIER,1200330,0.47869741500081947,Florida,14461
MIAMI-DADE,1200390,0.38356609758168786,FLORIDA,106745
DUVAL,1200480,0.3669905784241585,Florida,36005
