District Name,nces_id,Dissimilarity,State,Size
Marshall County,100006,0.32192676547515253,Alabama,2306
Hoover City,100007,0.024012043257850196,ALABAMA,4295
Madison City,100008,0.06680284702052283,Alabama,4060
Autauga County,100240,0.2006506893441567,Alabama,2440
Baldwin County,100270,0.27401905745456295,Alabama,9882
Birmingham City,100390,0.3662385321100918,Alabama,5455
Blount County,100420,0.3155333589448073,Alabama,2612
Calhoun County,100540,0.23916835772010397,Alabama,3139
Cullman County,101020,0.5054190751445087,Alabama,2772
Decatur City,101170,0.1259765625,Alabama,2072
Elmore County,101290,0.29937164585636844,Alabama,3393
Enterprise City,101320,0.0,ALABAMA,2119
Etowah County,101380,0.5001428163381891,Alabama,2759
Houston County,101770,0.3375,Alabama,2178
Huntsville City,101800,0.22495833703122994,Alabama,6816
Jefferson County,101920,0.3773483733856466,Alabama,12284
Lee County,102070,0.4960121534371439,Alabama,2641
Limestone County,102100,0.2605254129294712,Alabama,4561
Madison County,102220,0.1901805869074492,Alabama,5408
Mobile County,102370,0.4819507445542294,Alabama,14979
Montgomery County,102430,0.6611103285282748,Alabama,7378
Morgan County,102480,0.5035638523546881,Alabama,2377
Shelby County,103030,0.24437210079630708,Alabama,6841
St Clair County,103062,0.5185112719841736,Alabama,2440
Talladega County,103180,0.29177307095288163,Alabama,2228
Tuscaloosa City,103360,0.38603791030975493,Alabama,2926
Tuscaloosa County,103390,0.37838766108276933,Alabama,5367
Walker County,103450,0.3678328474246842,Alabama,2062
Anchorage School District,200180,0.23071109182220295,ALASKA,12135
Kenai Peninsula Borough School District,200390,0.21967555104169528,Alaska,2160
Matanuska-Susitna Borough School District,200510,0.09686612450612539,Alaska,5298
Fairbanks North Star Borough School District,200600,0.15235411140583555,Alaska,3207
Kingman Unified School District (79598),400295,0.03414367659109531,Arizona,2120
Agua Fria Union High School District (4289),400450,0.2879013752868306,Arizona,9219
Amphitheater Unified District (4406),400680,0.11370513035225811,Arizona,4412
Buckeye Union High School District (4284),401410,0.23646355773630723,Arizona,5176
Casa Grande Union High School District (4453),401740,0.029706115965051634,Arizona,3822
Chandler Unified District #80 (4242),401870,0.3553120946161207,Arizona,17748
Dysart Unified District (4243),402690,0.06617243847612507,Arizona,8275
Flagstaff Unified District (4192),402860,0.21299385425812115,Arizona,3432
Florence Unified School District (4437),402920,0.11419375603476023,Arizona,3157
Gilbert Unified District (4239),403400,0.3056970913475678,Arizona,11910
Glendale Union High School District (4285),403450,0.19080271655377884,Arizona,16695
Higley Unified School District (4248),403780,0.1096586782861293,Arizona,4140
Marana Unified District (4404),404630,0.1517282895428047,Arizona,4326
Mesa Unified District (4235),404970,0.16230199786493998,Arizona,18611
Paradise Valley Unified District (4241),405930,0.25388415175965584,Arizona,9536
Peoria Unified School District (4237),406250,0.0903609010658619,Arizona,13101
Phoenix Union High School District (4286),406330,0.3856741007468285,Arizona,27890
Queen Creek Unified District (4245),406810,0.2107468907867612,ARIZONA,4112
Sahuarita Unified District (4411),407300,0.2793167128347184,Arizona,2185
Scottsdale Unified District (4240),407570,0.27588431442638606,Arizona,7854
Deer Valley Unified District (4246),407750,0.28940348859875487,Arizona,10867
Sunnyside Unified District (4407),408170,0.13521892273392874,Arizona,4476
Tempe Union High School District (4287),408340,0.2664607322147178,Arizona,12997
Tolleson Union High School District (4288),408520,0.28061906758578736,Arizona,13335
Tucson Unified District (4403),408800,0.3574655067203769,Arizona,13876
Vail Unified District (4413),408850,0.15027944226780365,Arizona,4435
