District Name,nces_id,Dissimilarity,State,Size
Marshall County,100006,0.4057836683864081,Alabama,2306
Hoover City,100007,0.07797371400944061,ALABAMA,4295
Madison City,100008,0.0002854979950480674,Alabama,4060
Autauga County,100240,0.1720151302544079,Alabama,2440
Baldwin County,100270,0.22865522379950795,Alabama,9882
Birmingham City,100390,0.21140282131661442,Alabama,5455
Blount County,100420,0.34932692644081803,Alabama,2612
Calhoun County,100540,0.3326216571570942,Alabama,3139
Cullman County,101020,0.2011054421768707,Alabama,2772
Decatur City,101170,0.0605801809979973,Alabama,2072
Elmore County,101290,0.31330653473510617,Alabama,3393
Enterprise City,101320,0.0,ALABAMA,2119
Etowah County,101380,0.17238198709562982,Alabama,2759
Houston County,101770,0.2234052111410602,Alabama,2178
Huntsville City,101800,0.43272342569001704,Alabama,6816
Jefferson County,101920,0.5515024193123994,Alabama,12284
Lee County,102070,0.20607800121876904,Alabama,2641
Limestone County,102100,0.22638959083343585,Alabama,4561
Madison County,102220,0.16180414640169205,Alabama,5408
Mobile County,102370,0.5198079186686456,Alabama,14979
Montgomery County,102430,0.5143676507599672,Alabama,7378
Morgan County,102480,0.35503414264036415,Alabama,2377
Shelby County,103030,0.26134340781432486,Alabama,6841
St Clair County,103062,0.18835905082987553,Alabama,2440
Talladega County,103180,0.26465629616755015,Alabama,2228
Tuscaloosa City,103360,0.6336455016384335,Alabama,2926
Tuscaloosa County,103390,0.34863377359140135,Alabama,5367
Walker County,103450,0.2335072666094809,Alabama,2062
Anchorage School District,200180,0.3193773827666918,ALASKA,12135
Kenai Peninsula Borough School District,200390,0.11413308423847245,Alaska,2160
Matanuska-Susitna Borough School District,200510,0.08540754530515621,Alaska,5298
Fairbanks North Star Borough School District,200600,0.20041664365131343,Alaska,3207
Kingman Unified School District (79598),400295,0.07632439203226195,Arizona,2120
Agua Fria Union High School District (4289),400450,0.26003596841035265,Arizona,9219
Amphitheater Unified District (4406),400680,0.3396939575306078,Arizona,4412
Buckeye Union High School District (4284),401410,0.19625648356269781,Arizona,5176
Casa Grande Union High School District (4453),401740,0.042636439801904485,Arizona,3822
Chandler Unified District #80 (4242),401870,0.3208071905950585,Arizona,17748
Dysart Unified District (4243),402690,0.24159722697044736,Arizona,8275
Flagstaff Unified District (4192),402860,0.1797678275290216,Arizona,3432
Florence Unified School District (4437),402920,0.049380154318088065,Arizona,3157
Gilbert Unified District (4239),403400,0.1557188764742741,Arizona,11910
Glendale Union High School District (4285),403450,0.35831251165392497,Arizona,16695
Higley Unified School District (4248),403780,0.08461655725112252,Arizona,4140
Marana Unified District (4404),404630,0.07745244991038414,Arizona,4326
Mesa Unified District (4235),404970,0.3510942261476595,Arizona,18611
Paradise Valley Unified District (4241),405930,0.3880065894962961,Arizona,9536
Peoria Unified School District (4237),406250,0.3116836119369169,Arizona,13101
Phoenix Union High School District (4286),406330,0.24954511256881257,Arizona,27890
Queen Creek Unified District (4245),406810,0.015671381481191682,ARIZONA,4112
Sahuarita Unified District (4411),407300,0.004987063530025648,Arizona,2185
Scottsdale Unified District (4240),407570,0.30733990012516504,Arizona,7854
Deer Valley Unified District (4246),407750,0.24049533607230644,Arizona,10867
Sunnyside Unified District (4407),408170,0.24509352127947956,Arizona,4476
Tempe Union High School District (4287),408340,0.3680938906548334,Arizona,12997
Tolleson Union High School District (4288),408520,0.22403857238341374,Arizona,13335
Tucson Unified District (4403),408800,0.3545525916705161,Arizona,13876
Vail Unified District (4413),408850,0.08707441700080647,Arizona,4435
Yuma Union High School District (4507),409630,0.4099819016736078,Arizona,11068
BENTONVILLE SCHOOL DISTRICT,503060,0.07372322284404689,Arkansas,5438
CABOT SCHOOL DISTRICT,503750,0.009331833190982727,Arkansas,2520
FAYETTEVILLE SCHOOL DISTRICT,506120,0.09032710733671089,ARKANSAS,2801
FORT SMITH SCHOOL DISTRICT,506330,0.33773805053376965,Arkansas,4343
LITTLE ROCK SCHOOL DISTRICT,509000,0.3846223593487019,Arkansas,6185
NORTH LITTLE ROCK SCHOOL DISTRICT,510680,0.046571030215890034,ARKANSAS,2358
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,511850,0.16037725118722992,Arkansas,3156
ROGERS SCHOOL DISTRICT,511970,0.007174174326680563,Arkansas,4940
SPRINGDALE SCHOOL DISTRICT,512660,0.2941394464478244,Arkansas,4321
Rocklin Unified,600013,0.0803693060876969,California,4332
Hesperia Unified,600014,0.16941370379091125,California,7268
